部落大厅等级,农场,金矿,粮仓,金库,英雄馆,锻造室,兵营,营地,科技塔,工人小屋
1,1,1,1,1,1,0,1,1,0,1
2,1,2,1,1,1,0,1,1,0,1
3,2,2,1,1,1,0,1,1,0,1
4,2,2,1,1,1,0,1,1,0,1
5,2,3,2,2,1,1,1,1,1,1
6,2,3,2,2,1,1,1,1,1,1
7,3,3,2,2,1,1,1,1,1,1
8,3,3,2,2,1,1,1,1,1,1
9,3,3,2,2,1,1,1,1,1,1
10,5,5,3,3,1,1,1,1,1,2
11,5,5,3,3,1,1,1,1,1,2
12,5,5,3,3,1,1,1,1,1,2
13,5,5,3,3,1,1,1,1,1,2
14,5,5,3,3,1,1,1,1,1,2
15,5,5,3,3,1,1,1,1,1,2
16,5,5,3,3,1,1,1,1,1,2
17,5,5,3,3,1,1,1,1,1,2
18,5,5,3,3,1,1,1,1,1,2
19,5,5,3,3,1,1,1,1,1,2
20,5,5,3,3,1,1,1,1,1,2
21,5,5,3,3,1,1,1,1,1,2
22,5,5,3,3,1,1,1,1,1,2
23,5,5,3,3,1,1,1,1,1,2
24,5,5,3,3,1,1,1,1,1,2
25,5,5,3,3,1,1,1,1,1,2